Rom Name,Name,System,Display,Orientation,Joystick,Buttons,Button Count,Screenshot,Marquee
avsp,Alien vs. Predator - 3 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Weapon-Attack-Jump,3,avsp\0000.png,avsp.png
gijoe,G. I. Joe - 4 Players,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Fire-Special,2,gijoe\0000.png,
ghostb3,Ghostbusters - 3 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Proton Beam-Special,2,ghostb3\0000.png,
rampage,Rampage - 3 Players,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Punch-Jump,2,rampage\0000.png,
slammast,Saturday Night Slam Masters - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Attack/Grapple-Jump,2,slammast\0000.png,
simpsons,Simpsons - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,simpsons\0000.png,
spidman,Spider-Man - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,spidman\0000.png,
ssriders,Sunset Riders - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Shoot-Jump,2,ssriders\0000.png,
tbowl,Tecmo Bowl Arcade - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Jump-Make Play,2,tbowl\0000.png,
tmnt,TMNT - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Jump-Attack,2,tmnt\0000.png,
tmnt2,TMNT Turtles in Time- 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Jump-Attack,2,tmnt2\0000.png,
trackfld,Track and Field - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,None,Run-Jump-Run,3,trackfld\0000.png,
trog,Trog - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,None,Punch,1,trog\0000.png,
wwfwfest,WWF Wrestlefest - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,One-Two,2,wwfwfest\0000.png,
xmen,X-Men - 4 Player,3 to 4-Player Arcade Games,Yes,Horizontal,8-Way,Attack-Jump-Mutant Power,3,xmen\0000.png,
1943,1943,Arcade Games,Yes,Vertical,8-Way,Fire-Lightning,2,1943\0000.png,
avsp,Alien vs. Predator,Arcade Games,Yes,Horizontal,8-Way,Weapon-Attack-Jump,3,avsp\0000.png,
alpine,Alpine Ski,Arcade Games,No,Vertical,4-Way,Forward,1,alpine\0000.png,
altbeast,Altered Beast,Arcade Games,Yes,Horizontal,8-Way,Punch-Kick-Jump,3,altbeast\0000.png,
arkangc,Arkanoid,Arcade Games,Yes,Vertical,4-Way,Fire,1,arkangc\0000.png,
armwrest,Arm Wrestling,Arcade Games,Yes,Vertical,4-Way,Action,1,armwrest\0000.png,
armorcar,Armored Car,Arcade Games,No,Horizontal,8-Way,,0,armorcar\0000.png,
asterix,Asterix,Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,asterix\0000.png,
captaven,Avengers,Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,captaven\0000.png,
bstars2,Baseball Stars 2,Arcade Games,Yes,Horizontal,8-Way,A-B-C---D,4,bstars2\0000.png,
batman,Batman,Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,batman\0000.png,
batrider,Batrider,Arcade Games,No,Vertical,4-Way,Fire,1,batrider\0000.png,
bwidow,Black Widow,Arcade Games,No,Horizontal,8-Way,,0,bwidow\0000.png,
blueprnt,Blue Print,Arcade Games,No,Horizontal,8-Way,,0,blueprnt\0000.png,
bombjack,Bomb Jack,Arcade Games,No,Vertical,4-Way,,0,bombjack\0000.png,
bublbobl,Bubble Bobble,Arcade Games,Yes,Horizontal,8-Way,Attack-Jump,2,bublbobl\0000.png,
bucky,Bucky Ohare,Arcade Games,No,Horizontal,8-Way,,0,bucky\0000.png,
bullfgt,Bullfight,Arcade Games,Yes,Horizontal,8-Way,Cape-Sword,2,bullfgt\0000.png,
bnj,Bump 'n Jump,Arcade Games,Yes,Vertical,4-Way,Jump,1,bnj\0000.png,
btimem,Burger Time,Arcade Games,Yes,Vertical,4-Way,Pepper,1,btimem\0000.png,
bbros,Buster Bros.,Arcade Games,No,Horizontal,8-Way,,0,bbros\0000.png,
cabal,Cabal,Arcade Games,Yes,Horizontal,8-Way,Gun-Grenade,2,cabal\0000.png,
cshift,Chicken Shift,Arcade Games,Yes,Horizontal,None,Left Control--Right Control,2,cshift\0000.png,
circusc,Circus Charlie,Arcade Games,Yes,Vertical,4-Way,Action,1,circusc\0000.png,
cclimber,Crazy Climber,Arcade Games,No,Horizontal,8-Way,,0,cclimber\0000.png,
ccastles,Crystal Castles,Arcade Games,No,Horizontal,8-Way,,0,ccastles\0000.png,
diehard,Die Hard Arcade,Arcade Games,Yes,Horizontal,8-Way,Punch-Kick-Jump,3,diehard\0000.png,
digdug,Dig Dug,Arcade Games,Yes,Vertical,4-Way,Pump,1,digdug\0000.png,
domino,Domino Man,Arcade Games,No,Horizontal,8-Way,,0,domino\0000.png,
dkong,Donkey Kong,Arcade Games,Yes,Vertical,4-Way,Jump,1,dkong\0000.png,
dkongjr,Donkey Kong Jr,Arcade Games,Yes,Vertical,4-Way,Jump,1,dkongjr\0000.png,
ddragonu,Double Dragon,Arcade Games,Yes,Horizontal,8-Way,Punch-Kick-Jump,3,ddragonu\0000.png,
ddribble,Double Dribble,Arcade Games,Yes,Horizontal,8-Way,Dribble-Shoot-Pass,3,ddribble\0000.png,
esb,Empire Strikes Back,Arcade Games,No,Horizontal,8-Way,,0,esb\0000.png,
ffight,Final Fight,Arcade Games,No,Horizontal,8-Way,,0,ffight\0000.png,
frogger,Frogger,Arcade Games,Yes,Vertical,4-Way,,0,frogger\0000.png,
galaga,Galaga,Arcade Games,Yes,Vertical,8-Way,Fire,1,galaga\0000.png,
ghostb,Ghostbusters,Arcade Games,Yes,Horizontal,8-Way,Proton Beam-Special,2,ghostb\0000.png,
